instant,dteday,season,yr,mnth,hr,holiday,weekday,weekend,workingday,weathersit,temp,atemp,hum,windspeed,windspeed_mph,comfindex,casual,registered,cnt
2581,22/04/2011,2,0,4,10,0,5,0,1,2,0.36,0.3485,0.62,0.194,12.998,0.246,32,104,136
2582,22/04/2011,2,0,4,11,0,5,0,1,3,0.34,0.3333,0.66,0.194,12.998,0.231,23,83,106
2583,22/04/2011,2,0,4,12,0,5,0,1,3,0.34,0.3333,0.76,0.1343,8.998,0.243,19,61,80
2584,22/04/2011,2,0,4,13,0,5,0,1,3,0.34,0.3333,0.87,0.194,12.998,0.231,3,37,40
2585,22/04/2011,2,0,4,14,0,5,0,1,3,0.34,0.3182,0.87,0.2537,16.998,0.215,3,33,36
2586,22/04/2011,2,0,4,15,0,5,0,1,3,0.34,0.3333,0.87,0.194,12.998,0.231,13,62,75
2587,22/04/2011,2,0,4,16,0,5,0,1,3,0.34,0.3333,0.87,0.1343,8.998,0.243,4,58,62
2588,22/04/2011,2,0,4,17,0,5,0,1,3,0.32,0.303,0.93,0.2239,15.001,0.206,6,63,69
2589,22/04/2011,2,0,4,18,0,5,0,1,3,0.32,0.303,0.93,0.2239,15.001,0.206,4,47,51
2590,22/04/2011,2,0,4,19,0,5,0,1,3,0.32,0.303,0.93,0.2239,15.001,0.206,7,48,55
2591,22/04/2011,2,0,4,20,0,5,0,1,3,0.32,0.303,0.87,0.2239,15.001,0.206,8,39,47
2592,22/04/2011,2,0,4,21,0,5,0,1,3,0.3,0.303,0.93,0.1642,11.001,0.208,5,23,28
2593,22/04/2011,2,0,4,22,0,5,0,1,3,0.3,0.303,1,0.1343,8.998,0.214,3,21,24
2594,22/04/2011,2,0,4,23,0,5,0,1,3,0.32,0.3333,0.93,0.1045,7.002,0.239,0,17,17
2595,23/04/2011,2,0,4,0,0,6,1,0,2,0.32,0.3182,1,0.194,12.998,0.217,0,18,18
2596,23/04/2011,2,0,4,1,0,6,1,0,2,0.32,0.3182,1,0.194,12.998,0.217,5,11,16
2597,23/04/2011,2,0,4,2,0,6,1,0,3,0.32,0.3333,1,0.1343,8.998,0.233,3,14,17
2598,23/04/2011,2,0,4,3,0,6,1,0,3,0.32,0.3333,1,0.0896,6.003,0.242,0,4,4
2599,23/04/2011,2,0,4,4,0,6,1,0,3,0.34,0.3636,1,0,0,0.279,2,3,5
2600,23/04/2011,2,0,4,5,0,6,1,0,3,0.34,0.3636,1,0,0,0.279,1,6,7
2601,23/04/2011,2,0,4,6,0,6,1,0,2,0.34,0.3333,1,0.1642,11.001,0.237,0,11,
2602,23/04/2011,2,0,4,7,0,6,1,0,3,0.34,0.3333,1,0.1642,11.001,0.237,2,17,19
2603,23/04/2011,2,0,4,8,0,6,1,0,2,0.36,0.3333,1,0.2537,16.998,0.229,15,32,47
2604,23/04/2011,2,0,4,9,0,6,1,0,2,0.38,0.3939,0.94,0.2985,19.999,0.248,13,55,68
2605,23/04/2011,2,0,4,10,0,6,1,0,2,0.42,0.4242,0.88,0.2239,15.001,0.292,36,93,129
2606,23/04/2011,2,0,4,11,0,6,1,0,2,0.46,0.4545,0.88,0.2239,15.001,0.322,68,164,232
2607,23/04/2011,2,0,4,12,0,6,1,0,1,0.52,0.5,0.83,0.4179,27.999,0.326,94,197,291
2608,23/04/2011,2,0,4,13,0,6,1,0,1,0.52,0.5,0.83,0.3881,26.003,0.332,126,186,312
2609,23/04/2011,2,0,4,14,0,6,1,0,1,0.58,0.5455,0.78,0.3582,23.999,0.382,182,209,391
2610,23/04/2011,2,0,4,15,0,6,1,0,1,0.6,0.5909,0.73,0.3881,26.003,0.4,171,226,397
2611,23/04/2011,2,0,4,16,0,6,1,0,1,0.6,0.5909,0.73,0.2836,19.001,0.421,180,246,426
2612,23/04/2011,2,0,4,17,0,6,1,0,1,0.6,0.5909,0.73,0.3284,22.003,0.412,168,215,383
2613,23/04/2011,2,0,4,18,0,6,1,0,1,0.58,0.5455,0.78,0.194,12.998,0.415,149,227,376
2614,23/04/2011,2,0,4,19,0,6,1,0,1,0.56,0.5303,0.83,0.2836,19.001,0.382,84,199,283
2615,23/04/2011,2,0,4,20,0,6,1,0,2,0.54,0.5152,0.88,0.2537,16.998,0.374,45,138,183
2616,23/04/2011,2,0,4,21,0,6,1,0,2,0.56,0.5303,0.83,0.2836,19.001,0.382,32,103,135
2617,23/04/2011,2,0,4,22,0,6,1,0,2,0.58,0.5455,0.78,0.2537,16.998,0.403,55,114,169
2618,23/04/2011,2,0,4,23,0,6,1,0,2,0.54,0.5152,0.88,0.1642,11.001,0.392,31,86,117
2619,24/04/2011,2,0,4,0,0,0,1,0,1,0.52,0.5,0.83,0.2239,15.001,0.365,30,66,96
2620,24/04/2011,2,0,4,1,0,0,1,0,1,0.5,0.4848,0.88,0.194,12.998,0.357,14,40,54
2621,24/04/2011,2,0,4,2,0,0,1,0,1,0.5,0.4848,0.88,0.194,12.998,0.357,27,45,72
2622,24/04/2011,2,0,4,3,0,0,1,0,1,0.5,0.4848,0.94,0.0896,6.003,0.378,4,20,24
2623,24/04/2011,2,0,4,4,0,0,1,0,1,0.5,0.4848,0.94,0.0896,6.003,0.378,0,5,5
2624,24/04/2011,2,0,4,5,0,0,1,0,1,0.5,0.4848,0.94,0.0896,6.003,0.378,5,7,12
2625,24/04/2011,2,0,4,6,0,0,1,0,2,0.5,0.4848,1,0,0,0.395,10,3,13
2626,24/04/2011,2,0,4,7,0,0,1,0,2,0.5,0.4848,1,0,0,0.395,16,11,27
2627,24/04/2011,2,0,4,8,0,0,1,0,1,0.52,0.5,0.94,0.2239,15.001,0.365,38,42,80
2628,24/04/2011,2,0,4,9,0,0,1,0,1,0.56,0.5303,0.88,0.2537,16.998,0.388,73,104,177
2629,24/04/2011,2,0,4,10,0,0,1,0,1,0.6,0.5758,0.78,0.1642,11.001,0.44,118,171,289
2630,24/04/2011,2,0,4,11,0,0,1,0,1,0.66,0.6212,0.65,0.1343,8.998,0.49,124,193,317
2631,24/04/2011,2,0,4,12,0,0,1,0,1,0.68,0.6364,0.65,0.2537,16.998,0.48,168,220,388
2632,24/04/2011,2,0,4,13,0,0,1,0,1,0.7,0.6515,0.58,0.2836,19.001,0.489,205,236,441
2633,24/04/2011,2,0,4,14,0,0,1,0,1,0.7,0.6515,0.54,0.3284,22.003,0.48,197,223,420
2634,24/04/2011,2,0,4,15,0,0,1,0,1,0.66,0.6212,0.61,0.2537,16.998,0.466,167,202,369
2635,24/04/2011,2,0,4,16,0,0,1,0,1,0.74,0.6667,0.48,0.3881,26.003,0.492,162,197,359
2636,24/04/2011,2,0,4,17,0,0,1,0,1,0.66,0.6212,0.65,0.2985,19.999,0.457,142,189,331
2637,24/04/2011,2,0,4,18,0,0,1,0,1,0.64,0.6061,0.69,0.1642,11.001,0.469,96,174,270
2638,24/04/2011,2,0,4,19,0,0,1,0,3,0.6,0.5606,0.83,0.2836,19.001,0.411,62,132,194
2639,24/04/2011,2,0,4,20,0,0,1,0,3,0.6,0.5606,0.83,0.2836,19.001,0.411,34,71,105
2640,24/04/2011,2,0,4,21,0,0,1,0,3,0.54,0.5152,0.94,0.1642,11.001,0.392,8,53,61
2641,24/04/2011,2,0,4,22,0,0,1,0,3,0.54,0.5152,1,0.1642,11.001,0.392,5,40,45
2642,24/04/2011,2,0,4,23,0,0,1,0,3,0.54,0.5152,1,0.0896,6.003,0.407,5,37,42
2643,25/04/2011,2,0,4,0,0,1,0,1,3,0.52,0.5,1,0,0,0.41,2,10,12
2644,25/04/2011,2,0,4,1,0,1,0,1,1,0.54,0.5152,1,0.0896,6.003,0.407,2,8,10
2645,25/04/2011,2,0,4,2,0,1,0,1,1,0.54,0.5152,1,0.0896,6.003,0.407,1,9,10
2646,25/04/2011,2,0,4,3,0,1,0,1,2,0.5,0.4848,1,0.1045,7.002,0.375,2,8,10
2647,25/04/2011,2,0,4,4,0,1,0,1,2,0.52,0.5,1,0,0,0.41,1,4,5
2648,25/04/2011,2,0,4,5,0,1,0,1,2,0.46,0.4545,1,0,0,0.366,3,14,17
2649,25/04/2011,2,0,4,6,0,1,0,1,2,0.5,0.4848,1,0,0,0.395,7,59,66
2650,25/04/2011,2,0,4,7,0,1,0,1,2,0.52,0.5,1,0.0896,6.003,0.392,13,183,196
2651,25/04/2011,2,0,4,8,0,1,0,1,1,0.56,0.5303,0.88,0.1045,7.002,0.418,27,326,353
2652,25/04/2011,2,0,4,9,0,1,0,1,1,0.6,0.5606,0.83,0.1343,8.998,0.441,27,147,174
2653,25/04/2011,2,0,4,10,0,1,0,1,1,0.64,0.6061,0.73,0.2239,15.001,0.457,61,64,125
2654,25/04/2011,2,0,4,11,0,1,0,1,1,0.64,0.6061,0.73,0.2239,15.001,0.457,53,94,147
2655,25/04/2011,2,0,4,12,0,1,0,1,1,0.66,0.6212,0.74,0.2537,16.998,0.466,48,140,188
2656,25/04/2011,2,0,4,13,0,1,0,1,1,0.7,0.6515,0.65,0.2239,15.001,0.501,57,146,203
2657,25/04/2011,2,0,4,14,0,1,0,1,1,0.72,0.6667,0.54,0.2239,15.001,0.515,47,99,146
2658,25/04/2011,2,0,4,15,0,1,0,1,1,0.74,0.6667,0.51,0.2239,15.001,0.525,50,125,175
2659,25/04/2011,2,0,4,16,0,1,0,1,1,0.7,0.6515,0.54,0.3582,23.999,0.474,41,198,239
2660,25/04/2011,2,0,4,17,0,1,0,1,1,0.7,0.6515,0.54,0.2985,19.999,0.486,80,441,521
2661,25/04/2011,2,0,4,18,0,1,0,1,1,0.68,0.6364,0.57,0.3582,23.999,0.459,74,425,499
2662,25/04/2011,2,0,4,19,0,1,0,1,1,0.66,0.6212,0.57,0.3284,22.003,0.451,62,320,382
2663,25/04/2011,2,0,4,20,0,1,0,1,1,0.66,0.6212,0.61,0.2836,19.001,0.46,42,195,237
2664,25/04/2011,2,0,4,21,0,1,0,1,1,0.62,0.6061,0.69,0.2537,16.998,0.441,41,149,190
2665,25/04/2011,2,0,4,22,0,1,0,1,1,0.6,0.5909,0.73,0.2985,19.999,0.418,23,83,106
2666,25/04/2011,2,0,4,23,0,1,0,1,1,0.58,0.5455,0.78,0.2836,19.001,0.397,9,53,62
2667,26/04/2011,2,0,4,0,0,2,0,1,1,0.62,0.6061,0.69,0.2836,19.001,0.435,10,17,27
2668,26/04/2011,2,0,4,1,0,2,0,1,1,0.62,0.5909,0.73,0.2836,19.001,0.431,16,5,21
2669,26/04/2011,2,0,4,2,0,2,0,1,1,0.56,0.5303,0.83,0.3284,22.003,0.373,17,9,26
2670,26/04/2011,2,0,4,3,0,2,0,1,1,0.54,0.5152,0.88,0.2836,19.001,0.368,17,4,21
2671,26/04/2011,2,0,4,4,0,2,0,1,1,0.56,0.5303,0.83,0.2537,16.998,0.388,2,4,6
2672,26/04/2011,2,0,4,5,0,2,0,1,1,0.54,0.5152,0.88,0.2537,16.998,0.374,0,16,16
2673,26/04/2011,2,0,4,6,0,2,0,1,1,0.56,0.5303,0.88,0.2239,15.001,0.394,0,80,80
2674,26/04/2011,2,0,4,7,0,2,0,1,1,0.58,0.5455,0.83,0.2985,19.999,0.394,16,254,270
2675,26/04/2011,2,0,4,8,0,2,0,1,1,0.58,0.5455,0.83,0.2985,19.999,0.394,32,417,449
2676,26/04/2011,2,0,4,9,0,2,0,1,1,0.64,0.6061,0.73,0.3582,23.999,0.43,35,164,199
2677,26/04/2011,2,0,4,10,0,2,0,1,1,0.66,0.6212,0.69,0.3582,23.999,0.445,22,98,120
2678,26/04/2011,2,0,4,11,0,2,0,1,1,0.68,0.6364,0.65,0.3881,26.003,0.453,40,132,172
2679,26/04/2011,2,0,4,12,0,2,0,1,1,0.7,0.6515,0.61,0.4179,27.999,0.462,40,146,186
2680,26/04/2011,2,0,4,13,0,2,0,1,1,0.74,0.6667,0.51,0.4478,30.003,0.48,37,139,176
2681,26/04/2011,2,0,4,14,0,2,0,1,1,0.72,0.6667,0.58,0.3284,22.003,0.494,40,115,155
2682,26/04/2011,2,0,4,15,0,2,0,1,1,0.7,0.6515,0.61,0.3582,23.999,0.474,34,119,153
2683,26/04/2011,2,0,4,16,0,2,0,1,1,0.7,0.6515,0.58,0.3881,26.003,0.468,40,251,291
2684,26/04/2011,2,0,4,17,0,2,0,1,1,0.68,0.6364,0.61,0.3582,23.999,0.459,66,455,521
2685,26/04/2011,2,0,4,18,0,2,0,1,1,0.68,0.6364,0.65,0.4478,30.003,0.441,65,463,528
2686,26/04/2011,2,0,4,19,0,2,0,1,1,0.64,0.6061,0.73,0.4179,27.999,0.418,42,286,328
2687,26/04/2011,2,0,4,20,0,2,0,1,1,0.64,0.6061,0.73,0.3582,23.999,0.43,35,199,234
2688,26/04/2011,2,0,4,21,0,2,0,1,1,0.62,0.5909,0.78,0.2836,19.001,0.431,33,162,195
2689,26/04/2011,2,0,4,22,0,2,0,1,2,0.6,0.5606,0.83,0.194,12.998,0.429,32,116,148
2690,26/04/2011,2,0,4,23,0,2,0,1,2,0.6,0.5606,0.83,0.2239,15.001,0.423,7,71,78
2691,27/04/2011,2,0,4,0,0,3,0,1,1,0.6,0.5606,0.83,0.2239,15.001,0.423,3,24,27
2692,27/04/2011,2,0,4,1,0,3,0,1,1,0.6,0.5606,0.83,0.2537,16.998,0.417,2,15,17
2693,27/04/2011,2,0,4,2,0,3,0,1,1,0.58,0.5455,0.88,0.2537,16.998,0.403,0,5,5
2694,27/04/2011,2,0,4,3,0,3,0,1,2,0.58,0.5455,0.88,0.2836,19.001,0.397,3,4,7
2695,27/04/2011,2,0,4,4,0,3,0,1,1,0.56,0.5303,0.94,0.2239,15.001,0.394,0,6,6
2696,27/04/2011,2,0,4,5,0,3,0,1,2,0.56,0.5303,0.94,0.2537,16.998,0.388,1,16,17
2697,27/04/2011,2,0,4,6,0,3,0,1,1,0.56,0.5303,0.94,0.2537,16.998,0.388,5,79,84
2698,27/04/2011,2,0,4,7,0,3,0,1,2,0.58,0.5455,0.88,0.2836,19.001,0.397,17,229,246
2699,27/04/2011,2,0,4,8,0,3,0,1,2,0.58,0.5455,0.88,0.3284,22.003,0.388,31,413,444
2700,27/04/2011,2,0,4,9,0,3,0,1,2,0.6,0.5455,0.88,0.4179,27.999,0.38,20,161,181
2701,27/04/2011,2,0,4,10,0,3,0,1,2,0.62,0.5758,0.83,0.2836,19.001,0.426,26,66,92
2702,27/04/2011,2,0,4,11,0,3,0,1,2,0.64,0.5909,0.78,0.2836,19.001,0.441,53,103,156
2703,27/04/2011,2,0,4,12,0,3,0,1,1,0.66,0.6061,0.78,0.3284,22.003,0.446,38,135,173
2704,27/04/2011,2,0,4,13,0,3,0,1,1,0.64,0.5909,0.78,0.2985,19.999,0.438,31,119,150
2705,27/04/2011,2,0,4,14,0,3,0,1,1,0.68,0.6364,0.74,0.2836,19.001,0.474,29,119,148
2706,27/04/2011,2,0,4,15,0,3,0,1,1,0.7,0.6515,0.65,0.4925,32.998,0.447,18,120,138
2707,27/04/2011,2,0,4,16,0,3,0,1,1,0.7,0.6515,0.7,0.3881,26.003,0.468,29,189,218
2708,27/04/2011,2,0,4,17,0,3,0,1,3,0.66,0.6061,0.83,0.3881,26.003,0.434,63,458,521
2709,27/04/2011,2,0,4,18,0,3,0,1,3,0.66,0.6061,0.83,0.3881,26.003,0.434,46,366,412
2710,27/04/2011,2,0,4,19,0,3,0,1,1,0.62,0.5909,0.78,0.2836,19.001,0.431,40,220,260
2711,27/04/2011,2,0,4,20,0,3,0,1,1,0.64,0.5758,0.83,0.3284,22.003,0.427,30,188,218
2712,27/04/2011,2,0,4,21,0,3,0,1,1,0.62,0.5606,0.88,0.2836,19.001,0.421,19,126,145
2713,27/04/2011,2,0,4,22,0,3,0,1,2,0.62,0.5606,0.88,0.3284,22.003,0.412,18,111,129
2714,27/04/2011,2,0,4,23,0,3,0,1,2,0.62,0.5606,0.88,0.3582,23.999,0.407,25,53,78
2715,28/04/2011,2,0,4,0,0,4,0,1,1,0.64,0.5909,0.78,0.3582,23.999,0.426,13,41,54
2716,28/04/2011,2,0,4,1,0,4,0,1,2,0.62,0.5758,0.83,0.3881,26.003,0.405,8,12,20
2717,28/04/2011,2,0,4,2,0,4,0,1,2,0.62,0.5758,0.83,0.4478,30.003,0.393,14,7,21
2718,28/04/2011,2,0,4,3,0,4,0,1,2,0.64,0.5909,0.78,0.3881,26.003,0.42,2,1,3
2719,28/04/2011,2,0,4,4,0,4,0,1,2,0.62,0.5758,0.83,0.4179,27.999,0.399,4,5,9
2720,28/04/2011,2,0,4,5,0,4,0,1,2,0.62,0.5758,0.83,0.3881,26.003,0.405,0,13,13
2721,28/04/2011,2,0,4,6,0,4,0,1,2,0.64,0.5909,0.78,0.4627,31.001,0.405,7,79,86
2722,28/04/2011,2,0,4,7,0,4,0,1,2,0.64,0.5909,0.78,0.4478,30.003,0.408,14,201,215
2723,28/04/2011,2,0,4,8,0,4,0,1,2,0.66,0.6061,0.78,0.4478,30.003,0.422,31,367,398
2724,28/04/2011,2,0,4,9,0,4,0,1,3,0.62,0.5606,0.88,0.3284,22.003,0.412,18,165,183
2725,28/04/2011,2,0,4,10,0,4,0,1,2,0.62,0.5606,0.88,0.2836,19.001,0.421,9,45,54
2726,28/04/2011,2,0,4,11,0,4,0,1,2,0.62,0.5758,0.83,0.2836,19.001,0.426,10,74,84
2727,28/04/2011,2,0,4,12,0,4,0,1,2,0.62,0.5909,0.78,0.2537,16.998,0.437,23,84,107
2728,28/04/2011,2,0,4,13,0,4,0,1,2,0.62,0.5758,0.83,0.2985,19.999,0.423,18,103,121
2729,28/04/2011,2,0,4,14,0,4,0,1,1,0.62,0.5758,0.83,0.2985,19.999,0.423,21,121,142
2730,28/04/2011,2,0,4,15,0,4,0,1,1,0.66,0.6212,0.69,0.3284,22.003,0.451,46,117,163
2731,28/04/2011,2,0,4,16,0,4,0,1,1,0.62,0.5909,0.78,0.2537,16.998,0.437,42,228,270
2732,28/04/2011,2,0,4,17,0,4,0,1,1,0.64,0.6212,0.47,0.3582,23.999,0.435,49,406,455
2733,28/04/2011,2,0,4,18,0,4,0,1,1,0.64,0.6212,0.47,0.3582,23.999,0.435,44,486,530
2734,28/04/2011,2,0,4,19,0,4,0,1,1,0.62,0.6212,0.43,0.2985,19.999,0.437,57,347,404
2735,28/04/2011,2,0,4,20,0,4,0,1,1,0.58,0.5455,0.43,0.2239,15.001,0.409,49,220,269
2736,28/04/2011,2,0,4,21,0,4,0,1,1,0.56,0.5303,0.46,0.1343,8.998,0.412,27,167,194
2737,28/04/2011,2,0,4,22,0,4,0,1,1,0.54,0.5152,0.45,0.1642,11.001,0.392,34,119,153
2738,28/04/2011,2,0,4,23,0,4,0,1,1,0.54,0.5152,0.39,0.0896,6.003,0.407,29,81,110
2739,29/04/2011,2,0,4,0,0,5,0,1,1,0.52,0.5,0.39,0.2836,19.001,0.353,11,37,48
2740,29/04/2011,2,0,4,1,0,5,0,1,1,0.5,0.4848,0.45,0.0896,6.003,0.378,10,21,31
2741,29/04/2011,2,0,4,2,0,5,0,1,1,0.46,0.4545,0.63,0.1045,7.002,0.345,2,8,10
2742,29/04/2011,2,0,4,3,0,5,0,1,1,0.46,0.4545,0.59,0.0896,6.003,0.348,1,4,5
2743,29/04/2011,2,0,4,4,0,5,0,1,1,0.46,0.4545,0.51,0.1343,8.998,0.339,0,6,6
2744,29/04/2011,2,0,4,5,0,5,0,1,1,0.46,0.4545,0.47,0.1343,8.998,0.339,0,25,25
2745,29/04/2011,2,0,4,6,0,5,0,1,1,0.5,0.4848,0.45,0.2836,19.001,0.339,4,67,71
2746,29/04/2011,2,0,4,7,0,5,0,1,1,0.52,0.5,0.42,0.194,12.998,0.371,18,222,240
2747,29/04/2011,2,0,4,8,0,5,0,1,1,0.54,0.5152,0.39,0.2985,19.999,0.365,35,386,421
2748,29/04/2011,2,0,4,9,0,5,0,1,1,0.54,0.5152,0.39,0.3284,22.003,0.359,45,185,230
2749,29/04/2011,2,0,4,10,0,5,0,1,1,0.56,0.5303,0.4,0.2836,19.001,0.382,57,99,156
2750,29/04/2011,2,0,4,11,0,5,0,1,1,0.6,0.6212,0.38,0.2239,15.001,0.442,49,108,157
2751,29/04/2011,2,0,4,12,0,5,0,1,1,0.56,0.5303,0.37,0.2836,19.001,0.382,63,160,223
2752,29/04/2011,2,0,4,13,0,5,0,1,1,0.56,0.5303,0.37,0.2985,19.999,0.379,74,234,308
2753,29/04/2011,2,0,4,14,0,5,0,1,1,0.6,0.6212,0.35,0.3284,22.003,0.421,58,190,
2754,29/04/2011,2,0,4,15,0,5,0,1,2,0.56,0.5303,0.4,0.2985,19.999,0.379,77,175,252
2755,29/04/2011,2,0,4,16,0,5,0,1,2,0.54,0.5152,0.42,0.3582,23.999,0.353,59,240,299
2756,29/04/2011,2,0,4,17,0,5,0,1,2,0.52,0.5,0.45,0.3881,26.003,0.332,75,433,508
2757,29/04/2011,2,0,4,18,0,5,0,1,1,0.52,0.5,0.48,0.3582,23.999,0.338,55,384,439
2758,29/04/2011,2,0,4,19,0,5,0,1,1,0.46,0.4545,0.55,0.3284,22.003,0.301,40,230,270
2759,29/04/2011,2,0,4,20,0,5,0,1,1,0.48,0.4697,0.48,0.2239,15.001,0.336,34,160,194
2760,29/04/2011,2,0,4,21,0,5,0,1,1,0.46,0.4545,0.51,0.194,12.998,0.328,50,145,195
2761,29/04/2011,2,0,4,22,0,5,0,1,1,0.42,0.4242,0.58,0.1642,11.001,0.304,36,110,146
2762,29/04/2011,2,0,4,23,0,5,0,1,2,0.44,0.4394,0.54,0.0896,6.003,0.334,25,88,113
2763,30/04/2011,2,0,4,0,0,6,1,0,2,0.44,0.4394,0.54,0.2537,16.998,0.301,33,73,106
2764,30/04/2011,2,0,4,1,0,6,1,0,2,0.44,0.4394,0.54,0.1642,11.001,0.319,15,59,74
2765,30/04/2011,2,0,4,2,0,6,1,0,2,0.44,0.4394,0.54,0.2239,15.001,0.307,12,53,65
2766,30/04/2011,2,0,4,3,0,6,1,0,2,0.42,0.4242,0.54,0.194,12.998,0.298,4,13,17
2767,30/04/2011,2,0,4,4,0,6,1,0,2,0.42,0.4242,0.54,0.2239,15.001,0.292,2,5,7
2768,30/04/2011,2,0,4,5,0,6,1,0,1,0.42,0.4242,0.54,0.3881,26.003,0.26,3,4,7
2769,30/04/2011,2,0,4,6,0,6,1,0,1,0.4,0.4091,0.58,0.2836,19.001,0.266,10,11,21
2770,30/04/2011,2,0,4,7,0,6,1,0,1,0.4,0.4091,0.54,0.3881,26.003,0.245,21,27,48
2771,30/04/2011,2,0,4,8,0,6,1,0,1,0.4,0.4091,0.54,0.2985,19.999,0.263,21,70,91
2772,30/04/2011,2,0,4,9,0,6,1,0,1,0.44,0.4394,0.51,0.3582,23.999,0.28,35,121,156
2773,30/04/2011,2,0,4,10,0,6,1,0,1,0.48,0.4697,0.44,0.3881,26.003,0.303,94,185,279
2774,30/04/2011,2,0,4,11,0,6,1,0,1,0.5,0.4848,0.42,0.3582,23.999,0.324,120,201,321
2775,30/04/2011,2,0,4,12,0,6,1,0,1,0.52,0.5,0.42,0.3881,26.003,0.332,178,238,416
2776,30/04/2011,2,0,4,13,0,6,1,0,1,0.54,0.5152,0.39,0.2985,19.999,0.365,185,270,455
2777,30/04/2011,2,0,4,14,0,6,1,0,1,0.54,0.5152,0.39,0.2239,15.001,0.38,184,268,452
2778,30/04/2011,2,0,4,15,0,6,1,0,1,0.56,0.5303,0.37,0.1343,8.998,0.412,217,282,499
2779,30/04/2011,2,0,4,16,0,6,1,0,1,0.58,0.5455,0.37,0.194,12.998,0.415,191,273,464
2780,30/04/2011,2,0,4,17,0,6,1,0,1,0.56,0.5303,0.43,0.1343,8.998,0.412,162,245,407
2781,30/04/2011,2,0,4,18,0,6,1,0,1,0.54,0.5152,0.43,0.1343,8.998,0.398,134,237,371
2782,30/04/2011,2,0,4,19,0,6,1,0,1,0.54,0.5152,0.43,0.1343,8.998,0.398,150,237,387
2783,30/04/2011,2,0,4,20,0,6,1,0,1,0.44,0.4394,0.62,0.1343,8.998,0.325,65,159,224
2784,30/04/2011,2,0,4,21,0,6,1,0,1,0.44,0.4394,0.62,0.1343,8.998,0.325,58,119,177
2785,30/04/2011,2,0,4,22,0,6,1,0,1,0.44,0.4394,0.67,0.1045,7.002,0.331,37,106,143
2786,30/04/2011,2,0,4,23,0,6,1,0,1,0.44,0.4394,0.67,0.1045,7.002,0.331,34,91,125
2787,01/05/2011,2,0,5,0,0,0,1,0,1,0.42,0.4242,0.67,0.0896,6.003,0.319,19,77,96
2788,01/05/2011,2,0,5,1,0,0,1,0,1,0.42,0.4242,0.69,0.1045,7.002,0.316,9,50,59
2789,01/05/2011,2,0,5,2,0,0,1,0,1,0.42,0.4242,0.77,0.1045,7.002,0.316,7,43,50
2790,01/05/2011,2,0,5,3,0,0,1,0,1,0.4,0.4091,0.82,0.1045,7.002,0.302,8,15,23
2791,01/05/2011,2,0,5,4,0,0,1,0,1,0.4,0.4091,0.76,0.1045,7.002,0.302,6,11,17
2792,01/05/2011,2,0,5,5,0,0,1,0,1,0.4,0.4091,0.82,0.0896,6.003,0.305,0,10,10
2793,01/05/2011,2,0,5,6,0,0,1,0,2,0.4,0.4091,0.82,0.0896,6.003,0.305,4,9,13
2794,01/05/2011,2,0,5,7,0,0,1,0,2,0.42,0.4242,0.77,0.0896,6.003,0.319,7,26,33
2795,01/05/2011,2,0,5,8,0,0,1,0,2,0.44,0.4394,0.77,0.1343,8.998,0.325,16,43,59
2796,01/05/2011,2,0,5,9,0,0,1,0,2,0.46,0.4545,0.72,0.1343,8.998,0.339,45,96,141
2797,01/05/2011,2,0,5,10,0,0,1,0,2,0.48,0.4697,0.63,0.194,12.998,0.342,109,155,264
2798,01/05/2011,2,0,5,11,0,0,1,0,1,0.46,0.4545,0.82,0.1045,7.002,0.345,109,141,250
2799,01/05/2011,2,0,5,12,0,0,1,0,2,0.48,0.4697,0.77,0.1045,7.002,0.36,109,172,281
2800,01/05/2011,2,0,5,13,0,0,1,0,2,0.5,0.4848,0.63,0.1642,11.001,0.363,123,209,332
2801,01/05/2011,2,0,5,14,0,0,1,0,2,0.5,0.4848,0.68,0.1045,7.002,0.375,85,153,238
2802,01/05/2011,2,0,5,15,0,0,1,0,2,0.5,0.4848,0.72,0,0,0.395,113,153,266
2803,01/05/2011,2,0,5,16,0,0,1,0,2,0.5,0.4848,0.72,0.194,12.998,0.357,75,139,214
2804,01/05/2011,2,0,5,17,0,0,1,0,2,0.48,0.4697,0.82,0.2537,16.998,0.33,60,136,196
2805,01/05/2011,2,0,5,18,0,0,1,0,2,0.46,0.4545,0.82,0.0896,6.003,0.348,33,126,159
2806,01/05/2011,2,0,5,19,0,0,1,0,2,0.46,0.4545,0.84,0.1045,7.002,0.345,47,131,178
2807,01/05/2011,2,0,5,20,0,0,1,0,2,0.46,0.4545,0.82,0,0,0.366,35,86,121
2808,01/05/2011,2,0,5,21,0,0,1,0,2,0.46,0.4545,0.82,0,0,0.366,23,82,105
2809,01/05/2011,2,0,5,22,0,0,1,0,2,0.46,0.4545,0.82,0,0,0.366,32,68,100
2810,01/05/2011,2,0,5,23,0,0,1,0,1,0.46,0.4545,0.77,0.194,12.998,0.328,64,82,146
2811,02/05/2011,2,0,5,0,0,1,0,1,1,0.46,0.4545,0.72,0.1343,8.998,0.339,68,109,177
2812,02/05/2011,2,0,5,1,0,1,0,1,1,0.46,0.4545,0.72,0.1343,8.998,0.339,41,73,114
2813,02/05/2011,2,0,5,2,0,1,0,1,2,0.44,0.4394,0.77,0.2239,15.001,0.307,16,19,35
2814,02/05/2011,2,0,5,3,0,1,0,1,1,0.44,0.4394,0.77,0.1343,8.998,0.325,9,7,16
